EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EmployeeCount,Gender,JobRole,MonthlyIncome,SalarySlab,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Count
RM297,18,18-25,Yes,TravelRarely,Research & Development,3,Life Sciences,1,Male,Laboratory Technician,1420,Upto 5k,13,3,3,0,0,0,0,0.0,1
RM302,18,18-25,No,TravelRarely,Sales,10,Medical,1,Female,Sales Representative,1200,Upto 5k,12,3,1,0,0,0,0,0.0,0
RM458,18,18-25,Yes,Travel_Frequently,Sales,5,Marketing,1,Male,Sales Representative,1878,Upto 5k,14,3,4,0,0,0,0,0.0,1
RM728,18,18-25,No,Non-Travel,Research & Development,5,Life Sciences,1,Male,Research Scientist,1051,Upto 5k,15,3,4,0,0,0,0,0.0,0
RM829,18,18-25,Yes,Non-Travel,Research & Development,8,Medical,1,Male,Laboratory Technician,1904,Upto 5k,12,3,4,0,0,0,0,0.0,1
RM973,18,18-25,No,Non-Travel,Research & Development,1,Life Sciences,1,Female,Laboratory Technician,1611,Upto 5k,15,3,3,0,0,0,0,0.0,0
RM1154,18,18-25,Yes,Travel_Frequently,Sales,3,Medical,1,Female,Sales Representative,1569,Upto 5k,12,3,3,0,0,0,0,0.0,1
RM1312,18,18-25,No,Non-Travel,Research & Development,14,Medical,1,Female,Research Scientist,1514,Upto 5k,16,3,3,0,0,0,0,0.0,0
RM128,19,18-25,Yes,TravelRarely,Sales,22,Marketing,1,Male,Sales Representative,1675,Upto 5k,19,3,4,0,0,0,0,0.0,1
RM150,19,18-25,No,TravelRarely,Research & Development,3,Medical,1,Female,Laboratory Technician,1483,Upto 5k,14,3,4,1,1,0,0,0.0,0
RM172,19,18-25,Yes,Travel_Frequently,Sales,1,Technical Degree,1,Female,Sales Representative,2325,Upto 5k,21,4,1,1,0,0,0,0.0,1
RM178,19,18-25,Yes,TravelRarely,Research & Development,2,Life Sciences,1,Male,Laboratory Technician,1102,Upto 5k,22,4,3,1,1,0,1,0.0,1
RM423,19,18-25,Yes,TravelRarely,Human Resources,2,Technical Degree,1,Male,Human Resources,2564,Upto 5k,12,3,3,1,1,0,0,0.0,1
RM689,19,18-25,Yes,TravelRarely,Sales,21,Other,1,Male,Sales Representative,2121,Upto 5k,13,3,2,1,1,0,0,0.0,1
RM854,19,18-25,No,TravelRarely,Research & Development,9,Life Sciences,1,Male,Research Scientist,2552,Upto 5k,25,4,3,1,1,1,0,0.0,0
RM893,19,18-25,Yes,Non-Travel,Research & Development,10,Medical,1,Female,Research Scientist,1859,Upto 5k,25,4,2,1,1,1,0,0.0,1
RM910,19,18-25,No,TravelRarely,Research & Development,25,Life Sciences,1,Female,Research Scientist,2994,Upto 5k,12,3,4,1,1,0,0,1.0,0
RM103,20,18-25,Yes,Travel_Frequently,Research & Development,6,Life Sciences,1,Female,Laboratory Technician,2926,Upto 5k,18,3,2,1,1,0,1,0.0,1
RM488,20,18-25,No,TravelRarely,Research & Development,1,Life Sciences,1,Female,Research Scientist,2836,Upto 5k,13,3,4,1,1,0,0,0.0,0
RM514,20,18-25,Yes,TravelRarely,Research & Development,10,Medical,1,Male,Research Scientist,1009,Upto 5k,11,3,4,1,1,0,1,1.0,1
RM663,20,18-25,Yes,TravelRarely,Sales,2,Medical,1,Female,Sales Representative,2044,Upto 5k,13,3,4,2,2,2,0,2.0,1
RM690,20,18-25,Yes,TravelRarely,Research & Development,4,Technical Degree,1,Male,Laboratory Technician,2973,Upto 5k,19,3,2,1,1,0,0,0.0,1
RM732,20,18-25,Yes,TravelRarely,Research & Development,11,Medical,1,Female,Research Scientist,2600,Upto 5k,15,3,1,1,1,0,0,0.0,1
RM777,20,18-25,Yes,Travel_Frequently,Sales,9,Marketing,1,Female,Sales Representative,2323,Upto 5k,14,3,2,2,2,2,0,2.0,1
RM857,20,18-25,No,TravelRarely,Research & Development,3,Life Sciences,1,Male,Laboratory Technician,3033,Upto 5k,12,3,1,2,2,2,1,2.0,0
RM877,20,18-25,No,TravelRarely,Sales,21,Marketing,1,Male,Sales Representative,2678,Upto 5k,17,3,4,2,2,1,2,2.0,0
RM1179,20,18-25,No,TravelRarely,Sales,2,Medical,1,Female,Sales Representative,2783,Upto 5k,19,3,1,2,2,2,2,2.0,0
RM1198,20,18-25,No,TravelRarely,Sales,9,Life Sciences,1,Male,Sales Representative,2728,Upto 5k,11,3,1,2,2,2,0,2.0,0
RM275,21,18-25,No,TravelRarely,Research & Development,3,Medical,1,Male,Research Scientist,3230,Upto 5k,17,3,1,3,3,2,1,0.0,0
RM358,21,18-25,Yes,Travel_Frequently,Sales,1,Technical Degree,1,Female,Sales Representative,2174,Upto 5k,11,3,3,3,3,2,1,2.0,1
RM371,21,18-25,Yes,TravelRarely,Sales,12,Life Sciences,1,Female,Sales Representative,2716,Upto 5k,15,3,4,1,1,0,0,0.0,1
RM497,21,18-25,No,TravelRarely,Sales,22,Technical Degree,1,Male,Sales Representative,3447,Upto 5k,11,3,3,3,3,2,1,2.0,0
RM664,21,18-25,Yes,TravelRarely,Research & Development,18,Other,1,Female,Research Scientist,2693,Upto 5k,19,3,1,1,1,0,0,0.0,1
RM778,21,18-25,Yes,TravelRarely,Research & Development,10,Life Sciences,1,Female,Laboratory Technician,1416,Upto 5k,13,3,1,1,1,0,1,0.0,1
RM816,21,18-25,No,TravelRarely,Research & Development,1,Technical Degree,1,Female,Research Scientist,2070,Upto 5k,11,3,3,2,2,2,2,2.0,0
RM916,21,18-25,Yes,Travel_Frequently,Research & Development,10,Life Sciences,1,Female,Laboratory Technician,2625,Upto 5k,20,4,3,2,2,2,2,2.0,1
RM1153,21,18-25,No,TravelRarely,Research & Development,5,Medical,1,Male,Research Scientist,3117,Upto 5k,18,3,3,3,2,2,2,2.0,0
RM1272,21,18-25,Yes,TravelRarely,Sales,7,Marketing,1,Male,Sales Representative,2679,Upto 5k,13,3,2,1,1,0,1,0.0,1
RM1437,21,18-25,No,TravelRarely,Sales,5,Medical,1,Male,Sales Representative,2380,Upto 5k,11,3,4,2,2,2,1,2.0,0
RM018,22,18-25,No,Non-Travel,Research & Development,16,Medical,1,Male,Laboratory Technician,2935,Upto 5k,13,3,2,1,1,0,0,0.0,0
RM110,22,18-25,No,TravelRarely,Research & Development,15,Medical,1,Female,Laboratory Technician,2871,Upto 5k,15,3,3,1,0,0,0,0.0,0
RM129,22,18-25,No,TravelRarely,Research & Development,2,Technical Degree,1,Male,Laboratory Technician,2523,Upto 5k,14,3,3,3,2,1,2,1.0,0
RM161,22,18-25,No,TravelRarely,Research & Development,19,Medical,1,Male,Research Scientist,2323,Upto 5k,24,4,1,2,2,2,2,2.0,0
RM384,22,18-25,No,TravelRarely,Research & Development,11,Medical,1,Female,Research Scientist,2244,Upto 5k,13,3,4,2,2,1,1,2.0,0
RM444,22,18-25,Yes,Travel_Frequently,Research & Development,4,Technical Degree,1,Male,Laboratory Technician,3894,Upto 5k,16,3,3,4,2,2,1,2.0,1
RM499,22,18-25,No,TravelRarely,Research & Development,6,Medical,1,Male,Research Scientist,2773,Upto 5k,20,4,4,3,2,2,2,2.0,0
RM631,22,18-25,No,TravelRarely,Research & Development,1,Life Sciences,1,Male,Manufacturing Director,4775,Upto 5k,22,4,1,4,2,2,2,2.0,0
RM667,22,18-25,Yes,TravelRarely,Research & Development,3,Life Sciences,1,Female,Manufacturing Director,4171,Upto 5k,19,3,1,4,3,2,0,2.0,1
RM735,22,18-25,No,TravelRarely,Research & Development,8,Life Sciences,1,Male,Laboratory Technician,2451,Upto 5k,15,3,1,4,4,3,1,1.0,0
RM861,22,18-25,Yes,Travel_Frequently,Research & Development,3,Life Sciences,1,Male,Research Scientist,2853,Upto 5k,11,3,2,1,0,0,0,0.0,1
RM1138,22,18-25,No,Non-Travel,Research & Development,26,Other,1,Female,Research Scientist,2814,Upto 5k,14,3,2,4,4,2,1,3.0,0
RM1274,22,18-25,Yes,TravelRarely,Research & Development,8,Medical,1,Female,Laboratory Technician,2398,Upto 5k,17,3,3,1,1,0,0,0.0,1
RM1340,22,18-25,Yes,TravelRarely,Research & Development,7,Life Sciences,1,Male,Research Scientist,2472,Upto 5k,23,4,1,1,1,0,0,0.0,1
RM1424,22,18-25,No,TravelRarely,Research & Development,1,Life Sciences,1,Male,Research Scientist,3375,Upto 5k,12,3,4,4,3,2,1,2.0,0
RM087,23,18-25,No,TravelRarely,Sales,2,Technical Degree,1,Male,Sales Representative,2322,Upto 5k,13,3,3,3,0,0,0,0.0,0
RM346,23,18-25,No,TravelRarely,Research & Development,26,Life Sciences,1,Male,Research Scientist,2904,Upto 5k,12,3,3,4,4,2,0,2.0,0
RM517,23,18-25,No,TravelRarely,Research & Development,4,Medical,1,Male,Research Scientist,2819,Upto 5k,16,3,1,5,3,2,0,2.0,0
RM551,23,18-25,No,TravelRarely,Research & Development,9,Medical,1,Male,Laboratory Technician,2500,Upto 5k,14,3,4,5,4,3,0,2.0,0
RM566,23,18-25,No,TravelRarely,Research & Development,10,Medical,1,Male,Research Scientist,3505,Upto 5k,18,3,4,2,2,2,0,2.0,0
RM586,23,18-25,Yes,TravelRarely,Research & Development,6,Life Sciences,1,Male,Laboratory Technician,1601,Upto 5k,21,4,3,1,0,0,0,0.0,1
RM911,23,18-25,No,TravelRarely,Research & Development,1,Life Sciences,1,Male,Research Scientist,1223,Upto 5k,22,4,4,1,1,0,0,1.0,0
RM1083,23,18-25,No,TravelRarely,Research & Development,20,Life Sciences,1,Male,Laboratory Technician,2272,Upto 5k,14,3,2,5,4,3,1,2.0,0
